w[150] = 0, thread_num: 0
w[0] = 0, thread_num: 2
w[100] = 1, thread_num: 3
w[200] = 0, thread_num: 0
w[50] = 0, thread_num: 1
w[300] = 0, thread_num: 0
w[250] = 2, thread_num: 2
w[400] = 0, thread_num: 0
w[350] = 0, thread_num: 1
w[450] = 0, thread_num: 0
w[500] = 5, thread_num: 1
w[550] = 0, thread_num: 0
w[600] = 0, thread_num: 0
w[650] = 0, thread_num: 0
w[700] = 0, thread_num: 0
w[750] = 7, thread_num: 0
w[800] = 0, thread_num: 3
w[850] = 8, thread_num: 3
w[900] = 0, thread_num: 2
w[950] = 9, thread_num: 2
